No.	Centroid-x	Centroid-y	Area(pixel2)	Area(um2)	EQAD(um)
 341     389.01     399.98       359    954.44    34.86 
 342     405.14     346.41      2131   5665.49    84.93 
 343     416.11     211.04      3167   8419.81   103.54 
 344     391.01     418.14       301    800.24    31.92 
 345     388.83     120.81       184    489.18    24.96 
 346     397.74     129.64       271    720.48    30.29 
 347     397.99     250.86       464   1233.59    39.63 
 348     397.78     435.37       315    837.46    32.65 
 349     401.53     513.87       398   1058.13    36.70 
 350     409.67     173.23       602   1600.48    45.14 
 351     401.95     410.10       186    494.50    25.09 
 352     402.78     385.88       223    592.87    27.47 
 353     406.48     154.55       311    826.83    32.45 
 354     428.13     505.84      1800   4785.49    78.06 
 355     401.11     141.78        49    130.27    12.88 
 356     409.70     305.41       354    941.15    34.62 
 357     403.84     285.24        51    135.59    13.14 
 358     413.28     115.08       372    989.00    35.49 
 359     404.74     400.15        51    135.59    13.14 
 360     421.64     292.61       605   1608.46    45.25 
 361     411.59     276.44       138    366.89    21.61 
 362     412.22     416.51       221    587.55    27.35 
 363     407.50     538.60        19     50.51     8.02 
 364     415.14     133.42       364    967.73    35.10 
 365     430.11     258.04      1253   3331.23    65.13 
 366     409.65     397.04        44    116.98    12.20 
 367     419.71     437.29       593   1576.55    44.80 
 368     422.67     531.93       509   1353.23    41.51 
 369     419.77     393.82       294    781.63    31.55 
 370     413.57     404.06        58    154.20    14.01 
 371     430.12     145.40       778   2068.40    51.32 
 372     425.33     382.34       307    816.19    32.24 
 373     426.21     316.53       206    547.67    26.41 
 374     459.90     100.76      3633   9658.72   110.90 
 375     422.00     406.06        54    143.56    13.52 
 376     430.94     470.26       543   1443.62    42.87 
 377     423.18     277.64        41    109.00    11.78 
 378     426.30     412.60       109    289.79    19.21 
 379     431.25     421.74       185    491.84    25.02 
 380     428.82     330.62       138    366.89    21.61 
 381     435.60     356.96       980   2605.43    57.60 
 382     442.64     168.04       763   2028.52    50.82 
 383     437.13     275.73       198    526.40    25.89 
 384     437.36     395.16       216    574.26    27.04 
 385     489.87     410.72      6623  17607.95   149.73 
 386     471.22     468.80      1644   4370.75    74.60 
 387     448.60     309.10       830   2206.64    53.01 
 388     445.96     407.83       532   1414.38    42.44 
 389     440.02     286.27       160    425.38    23.27 
 390     441.01     326.05       181    481.21    24.75 
 391     451.05     492.31       672   1786.58    47.69 
 392     449.68      68.94       340    903.93    33.93 
 393     462.54     368.40      1629   4330.87    74.26 
 394     454.44     213.37      1001   2661.27    58.21 
 395     453.17     186.48       364    967.73    35.10 
 396     453.52     534.35       210    558.31    26.66 
 397     451.14     277.06       121    321.69    20.24 
 398     467.16     137.93      1068   2839.39    60.13 
 399     451.30     473.43       154    409.43    22.83 
 400     452.84     346.93       151    401.45    22.61 
 401     458.60     241.98       434   1153.84    38.33 
 402     466.42     293.78       791   2102.96    51.75 
 403     456.45     266.67       128    340.30    20.82 
 404     459.18     330.53       284    755.04    31.01 
 405     459.42      54.11       277    736.43    30.62 
 406     461.58     159.86       327    869.36    33.27 
 407     475.29     511.99      1276   3392.38    65.72 
 408     467.18     254.81       155    412.08    22.91 
 409     472.37     270.73       498   1323.99    41.06 
 410     477.64     536.85       187    497.16    25.16 
 411     482.28      34.91      1068   2839.39    60.13 
 412     477.29     200.43       625   1661.63    46.00 
 413     475.09     180.81       297    789.61    31.71 
 414     482.63      61.77       713   1895.59    49.13 
 415     480.38     341.00       547   1454.26    43.03 
 416     469.94     225.44        39    103.69    11.49 
 417     473.65     321.40       212    563.62    26.79 
 418     483.56     161.92       615   1635.04    45.63 
 419     476.37     235.03       324    861.39    33.12 
 420     539.18      31.06      6736  17908.37   151.00 
 421     523.92     222.46      2979   7919.99   100.42 
 422     479.34     148.17        67    178.13    15.06 
 423     508.97     251.68      2199   5846.28    86.28 
 424     485.27     301.54       363    965.07    35.05 
 425     501.11     326.60      1014   2695.83    58.59 
 426     494.56     128.19       303    805.56    32.03 
 427     507.70     287.60      1410   3748.64    69.09 
 428     519.67     180.72      2033   5404.95    82.96 
 429     496.36     356.12       312    829.49    32.50 
 430     499.71     525.86       651   1730.75    46.94 
 431     503.44     479.54       836   2222.60    53.20 
 432     512.14     143.45       966   2568.21    57.18 
 433     500.48      77.98       168    446.65    23.85 
 434     503.99     112.56       390   1036.86    36.33 
 435     532.08     500.00      2085   5543.19    84.01 
 436     502.43      98.20        51    135.59    13.14 
 437     503.65      89.82        41    109.00    11.78 
 438     517.86      84.11       419   1113.96    37.66 
 439     524.21     346.06      1067   2836.73    60.10 
 440     530.07     433.54      1529   4065.01    71.94 
 441     521.22     102.29       465   1236.25    39.67 
 442     545.76     123.53      1628   4328.21    74.24 
 443     523.30     529.19       436   1159.15    38.42 
 444     519.48     160.72       139    369.55    21.69 
 445     527.42     467.42       592   1573.90    44.77 
 446     533.67     297.30      1233   3278.06    64.60 
 447     530.73     149.63       149    396.13    22.46 
 448     548.67      93.07       940   2499.09    56.41 
 449     540.05     536.41       153    406.77    22.76 
 450     566.50     385.90      4074  10831.16   117.43 
 451     541.85     154.38       166    441.33    23.70 
 452     552.03     317.77       975   2592.14    57.45 
 453     556.15     267.28       829   2203.98    52.97 
 454     543.90     144.34       101    268.52    18.49 
 455     546.90     342.03       290    771.00    31.33 
 456     551.36     448.77       483   1284.11    40.43 
 457     553.09     525.46       361    959.76    34.96 
 458     555.30     172.41       681   1810.51    48.01 
 459     548.88     203.66       126    334.98    20.65 
 460     559.59     465.18       569   1512.75    43.89 
 461     557.74     223.39       366    973.05    35.20 
 462     559.05      69.95       315    837.46    32.65 
 463     559.36     150.82       274    728.46    30.45 
 464     556.64     209.11        65    172.81    14.83 
 465     565.19     288.30       472   1254.86    39.97 
 466     559.83     196.66       146    388.16    22.23 
 467     567.10     533.71       242    643.38    28.62 
 468     562.92     483.44       296    786.95    31.65 
 469     582.70     512.90      1762   4684.46    77.23 
 470     567.82     211.85       320    850.75    32.91 
 471     569.07      54.49       223    592.87    27.47 
 472     567.12      85.39       125    332.33    20.57 
 473     571.30     142.50       207    550.33    26.47 
 474     579.81     324.86      1164   3094.62    62.77 
 475     587.26     443.16      2342   6226.46    89.04 
 476     585.28     108.76      1020   2711.78    58.76 
 477     572.28     193.41       185    491.84    25.02 
 478     575.18     178.54       302    802.90    31.97 
 479     580.39      77.57       495   1316.01    40.93 
 480     576.44     160.69       310    824.17    32.39 
 481     576.33      94.71       159    422.72    23.20 
 482     587.27     247.58      1707   4538.24    76.01 
 483     576.84     486.32       229    608.82    27.84 
 484     583.56     291.98       415   1103.32    37.48 
 485     578.98      59.37        79    210.03    16.35 
 486     590.48     192.20      1125   2990.93    61.71 
 487     588.39      66.65       178    473.23    24.55 
 488     588.34     143.54       595   1581.87    44.88 
 489     589.52      50.40       293    778.97    31.49 
 490     594.71     351.29       386   1026.22    36.15 
 491     594.97     305.30       332    882.66    33.52 
 492     597.30     127.36       131    348.28    21.06 
 493     598.41      78.48       117    311.06    19.90 
 494     598.70      51.05       141    374.86    21.85 
 495     598.71     282.57        59    156.86    14.13 
 496     599.16     155.13        46    122.30    12.48 
